#BUSCO_group	Status	Transcript	Bitscore	Length
BUSCOaEOG7VF93Q	Complete	TRINITY_DN88586_c1_g1_i3	581.7	355
BUSCOaEOG7HJ880	Duplicated	TRINITY_DN93154_c5_g1_i4	164.5	137
BUSCOaEOG7WMQZB	Complete	TRINITY_DN93163_c4_g1_i1	1039.1	681
BUSCOaEOG7WXBPM	Complete	TRINITY_DN86272_c0_g1_i1	769.5	492
BUSCOaEOG7HBHSC	Complete	TRINITY_DN91432_c3_g1_i1	141.4	89
BUSCOaEOG7M6RN9	Duplicated	TRINITY_DN89525_c3_g2_i3	1174.3	544
BUSCOaEOG771DP2	Complete	TRINITY_DN88570_c0_g1_i2	309.5	245
BUSCOaEOG732M2X	Duplicated	TRINITY_DN92705_c4_g2_i1	1092.5	634
BUSCOaEOG793PQ3	Duplicated	TRINITY_DN86142_c0_g1_i4	264.2	124
BUSCOaEOG77DWMB	Duplicated	TRINITY_DN89536_c1_g1_i4	705.6	367
BUSCOaEOG7SZ7HN	Duplicated	TRINITY_DN89189_c2_g1_i1	473.3	396
BUSCOaEOG7CP9X0	Complete	TRINITY_DN91455_c8_g1_i2	426.0	191
BUSCOaEOG7XDPVM	Duplicated	TRINITY_DN92546_c2_g1_i2	1247.4	700
BUSCOaEOG7HFCZW	Duplicated	TRINITY_DN91585_c1_g1_i2	224.1	302
BUSCOaEOG7Q30M6	Duplicated	TRINITY_DN92096_c0_g1_i2	355.6	311
BUSCOaEOG75JC28	Fragmented	TRINITY_DN83961_c0_g1_i1	192.8	325
BUSCOaEOG70D3NQ	Complete	TRINITY_DN89851_c1_g1_i1	159.6	261
BUSCOaEOG7RC9QT	Duplicated	TRINITY_DN92158_c9_g2_i7	171.4	146
BUSCOaEOG7DRWH9	Fragmented	TRINITY_DN93142_c2_g3_i1	300.9	397
BUSCOaEOG79SSCF	Duplicated	TRINITY_DN89716_c5_g2_i3	313.6	194
BUSCOaEOG7K461S	Complete	TRINITY_DN89954_c1_g2_i1	353.4	227
BUSCOaEOG71PDQQ	Duplicated	TRINITY_DN74042_c1_g1_i2	89.8	213
BUSCOaEOG796JZH	Duplicated	TRINITY_DN88193_c0_g1_i1	135.1	124
BUSCOaEOG732M3X	Duplicated	TRINITY_DN91570_c2_g1_i2	349.9	200
BUSCOaEOG7JF3BH	Duplicated	TRINITY_DN93620_c3_g1_i5	905.9	446
BUSCOaEOG7M9MWR	Complete	TRINITY_DN88195_c0_g1_i1	667.3	378
BUSCOaEOG7W4CRQ	Complete	TRINITY_DN86714_c0_g1_i1	1167.2	755
BUSCOaEOG74Z4NV	Duplicated	TRINITY_DN90755_c4_g2_i2	280.0	256
BUSCOaEOG76J2G5	Fragmented	TRINITY_DN84950_c0_g2_i1	297.8	207
BUSCOaEOG7BKR8Q	Complete	TRINITY_DN93278_c2_g1_i1	263.4	234
BUSCOaEOG77HRTK	Fragmented	TRINITY_DN88656_c1_g2_i1	587.8	405
BUSCOaEOG78MBG3	Complete	TRINITY_DN83797_c0_g1_i1	1091.9	519
BUSCOaEOG7GZ1SC	Complete	TRINITY_DN76605_c0_g1_i1	323.6	333
BUSCOaEOG764KHV	Duplicated	TRINITY_DN90877_c0_g1_i2	216.7	242
BUSCOaEOG7G26MS	Complete	TRINITY_DN93834_c4_g1_i4	542.9	401
BUSCOaEOG7ZSW8B	Duplicated	TRINITY_DN90861_c1_g3_i8	232.9	249
BUSCOaEOG76MXPS	Complete	TRINITY_DN79575_c0_g1_i1	783.7	578
BUSCOaEOG79SSB2	Fragmented	TRINITY_DN62491_c0_g1_i1	254.1	248
BUSCOaEOG7MWVCB	Duplicated	TRINITY_DN84642_c0_g1_i1	343.4	188
BUSCOaEOG7X16X8	Duplicated	TRINITY_DN93414_c0_g1_i1	897.4	754
BUSCOaEOG7455R7	Complete	TRINITY_DN86133_c1_g2_i1	242.7	183
BUSCOaEOG7ND6JC	Duplicated	TRINITY_DN93910_c3_g10_i1	352.4	217
BUSCOaEOG79WNK4	Duplicated	TRINITY_DN90806_c0_g1_i1	774.4	688
BUSCOaEOG76QSZP	Complete	TRINITY_DN93309_c1_g1_i8	322.9	290
BUSCOaEOG7SFW9J	Duplicated	TRINITY_DN90278_c4_g1_i8	991.0	633
BUSCOaEOG7GFPK7	Duplicated	TRINITY_DN82115_c0_g1_i1	420.2	455
BUSCOaEOG76F675	Duplicated	TRINITY_DN92893_c1_g1_i3	361.4	265
BUSCOaEOG7MQ3TT	Fragmented	TRINITY_DN82878_c1_g1_i2	638.1	586
BUSCOaEOG7RZJ58	Complete	TRINITY_DN92422_c0_g1_i1	442.6	354
BUSCOaEOG7Z0X9C	Complete	TRINITY_DN93703_c1_g1_i3	495.5	561
BUSCOaEOG7QGGJP	Fragmented	TRINITY_DN93881_c0_g1_i3	358.0	404
BUSCOaEOG79H5MB	Complete	TRINITY_DN90367_c1_g1_i2	1020.8	526
BUSCOaEOG7ZM4S4	Duplicated	TRINITY_DN92571_c0_g1_i1	367.3	251
BUSCOaEOG7HBHR1	Duplicated	TRINITY_DN93354_c1_g1_i4	466.4	445
BUSCOaEOG7F5CHG	Duplicated	TRINITY_DN92769_c0_g1_i2	199.2	138
BUSCOaEOG7D5P2P	Complete	TRINITY_DN92733_c0_g1_i1	538.4	571
BUSCOaEOG7GZ1SV	Duplicated	TRINITY_DN94136_c3_g1_i6	253.6	181
BUSCOaEOG7N0QJN	Complete	TRINITY_DN93129_c0_g1_i1	377.5	341
BUSCOaEOG79D9CS	Fragmented	TRINITY_DN93393_c0_g7_i2	485.3	496
BUSCOaEOG7T23SX	Duplicated	TRINITY_DN86495_c0_g1_i1	85.5	66
BUSCOaEOG7GZ1S7	Duplicated	TRINITY_DN92456_c2_g1_i3	473.5	373
BUSCOaEOG7DP19S	Complete	TRINITY_DN79288_c0_g1_i2	194.7	257
BUSCOaEOG7BKR85	Fragmented	TRINITY_DN78477_c0_g2_i1	195.2	325
BUSCOaEOG77DWNK	Fragmented	TRINITY_DN29665_c0_g1_i1	315.8	163
BUSCOaEOG75R3J2	Fragmented	TRINITY_DN93991_c6_g2_i3	388.2	225
BUSCOaEOG7W4CT0	Duplicated	TRINITY_DN91634_c0_g1_i2	478.9	405
BUSCOaEOG73JZB1	Duplicated	TRINITY_DN85944_c0_g2_i1	217.9	139
BUSCOaEOG7B94JJ	Complete	TRINITY_DN86216_c0_g1_i1	580.3	325
BUSCOaEOG7FVG4R	Complete	TRINITY_DN92120_c0_g1_i2	894.7	485
BUSCOaEOG7DG8T9	Duplicated	TRINITY_DN93871_c0_g1_i1	266.8	219
BUSCOaEOG7DP184	Fragmented	TRINITY_DN15813_c0_g1_i1	329.1	402
BUSCOaEOG7J1MDX	Duplicated	TRINITY_DN91301_c6_g5_i8	262.4	213
BUSCOaEOG7X6ZD4	Complete	TRINITY_DN91483_c0_g1_i1	1112.6	595
BUSCOaEOG7QGGJB	Duplicated	TRINITY_DN93573_c0_g1_i3	419.6	411
BUSCOaEOG7Z6NT2	Complete	TRINITY_DN93471_c2_g1_i1	424.5	289
BUSCOaEOG7JMTTH	Duplicated	TRINITY_DN91178_c2_g1_i1	360.3	496
BUSCOaEOG7GFPM7	Complete	TRINITY_DN85015_c0_g1_i2	287.2	197
BUSCOaEOG7VBDVW	Duplicated	TRINITY_DN88172_c3_g1_i2	531.4	325
BUSCOaEOG7ZM4R7	Duplicated	TRINITY_DN90714_c0_g1_i1	662.7	484
BUSCOaEOG7R5K75	Duplicated	TRINITY_DN93583_c7_g1_i1	150.6	320
BUSCOaEOG71S91S	Duplicated	TRINITY_DN88430_c0_g1_i2	139.8	99
BUSCOaEOG7P91NT	Fragmented	TRINITY_DN80855_c0_g1_i2	440.0	307
BUSCOaEOG7FRKXM	Complete	TRINITY_DN91946_c0_g1_i1	180.7	408
BUSCOaEOG7CP9X6	Fragmented	TRINITY_DN96577_c0_g1_i1	257.4	134
BUSCOaEOG7FRKW6	Fragmented	TRINITY_DN91143_c1_g1_i1	617.9	453
BUSCOaEOG7KDSS4	Complete	TRINITY_DN88381_c1_g1_i1	273.0	190
BUSCOaEOG7T500R	Complete	TRINITY_DN91813_c0_g1_i1	422.9	377
BUSCOaEOG70KV3D	Duplicated	TRINITY_DN93426_c1_g2_i1	1618.2	906
BUSCOaEOG722WQC	Duplicated	TRINITY_DN92639_c0_g1_i4	108.8	173
BUSCOaEOG7MM7MZ	Duplicated	TRINITY_DN90826_c0_g1_i1	360.4	293
BUSCOaEOG7TXXWV	Duplicated	TRINITY_DN88289_c0_g1_i1	528.2	423
BUSCOaEOG7Z0XBF	Duplicated	TRINITY_DN93770_c2_g1_i2	311.4	205
BUSCOaEOG7RC9Q6	Duplicated	TRINITY_DN91350_c5_g2_i3	578.4	540
BUSCOaEOG754W4B	Complete	TRINITY_DN77003_c0_g1_i1	491.9	270
BUSCOaEOG78MBJ5	Complete	TRINITY_DN80946_c0_g1_i1	127.1	76
BUSCOaEOG7DK51V	Duplicated	TRINITY_DN93990_c4_g1_i2	808.9	464
BUSCOaEOG7F2H7W	Complete	TRINITY_DN74192_c0_g1_i1	268.7	237
BUSCOaEOG781423	Duplicated	TRINITY_DN93513_c9_g1_i2	679.8	396
BUSCOaEOG72P448	Duplicated	TRINITY_DN93237_c8_g1_i3	477.6	516
BUSCOaEOG7QCMB9	Duplicated	TRINITY_DN90871_c1_g1_i4	365.8	238
BUSCOaEOG7C076V	Fragmented	TRINITY_DN59968_c0_g2_i1	409.3	259
BUSCOaEOG74BX7H	Duplicated	TRINITY_DN93222_c4_g1_i7	250.9	163
BUSCOaEOG75FGT3	Complete	TRINITY_DN86213_c0_g2_i2	733.9	736
BUSCOaEOG7G52VM	Duplicated	TRINITY_DN91685_c4_g1_i1	676.7	383
BUSCOaEOG75FGT0	Fragmented	TRINITY_DN93788_c4_g1_i9	344.6	216
BUSCOaEOG732M3J	Fragmented	TRINITY_DN92586_c4_g2_i4	556.8	335
BUSCOaEOG7JMTTQ	Duplicated	TRINITY_DN90996_c0_g1_i1	591.7	422
BUSCOaEOG703GZ4	Duplicated	TRINITY_DN92559_c0_g1_i2	245.1	175
BUSCOaEOG738BKV	Duplicated	TRINITY_DN94001_c0_g1_i7	333.1	316
BUSCOaEOG7WXBPJ	Duplicated	TRINITY_DN90350_c1_g1_i9	490.4	460
BUSCOaEOG7DZN05	Duplicated	TRINITY_DN91191_c1_g1_i3	383.2	378
BUSCOaEOG7DRWJ5	Complete	TRINITY_DN84909_c0_g1_i1	288.7	235
BUSCOaEOG75BMMR	Fragmented	TRINITY_DN89637_c0_g1_i2	188.6	194
BUSCOaEOG7TBQGG	Complete	TRINITY_DN83197_c0_g3_i1	586.6	403
BUSCOaEOG710B2R	Fragmented	TRINITY_DN85793_c0_g1_i1	65.8	132
BUSCOaEOG77HRV7	Fragmented	TRINITY_DN92382_c8_g1_i5	320.8	203
BUSCOaEOG77MN2R	Complete	TRINITY_DN88616_c1_g1_i1	974.5	568
BUSCOaEOG796JWD	Complete	TRINITY_DN87437_c0_g1_i3	1257.4	741
BUSCOaEOG7429HH	Complete	TRINITY_DN86287_c1_g1_i1	328.9	202
BUSCOaEOG7JF3CN	Duplicated	TRINITY_DN93503_c0_g3_i2	207.4	220
BUSCOaEOG7C33GD	Duplicated	TRINITY_DN93685_c5_g4_i9	243.5	381
BUSCOaEOG7JTKB6	Duplicated	TRINITY_DN91272_c0_g1_i2	267.8	239
BUSCOaEOG72P45Q	Duplicated	TRINITY_DN88703_c0_g2_i1	239.6	123
BUSCOaEOG7MT03B	Complete	TRINITY_DN93688_c0_g2_i1	434.8	387
BUSCOaEOG7JTK98	Complete	TRINITY_DN92418_c3_g1_i2	779.9	506
BUSCOaEOG74V8CD	Fragmented	TRINITY_DN93983_c1_g1_i7	987.3	714
BUSCOaEOG7HTVXV	Complete	TRINITY_DN85062_c0_g1_i1	350.5	206
BUSCOaEOG72S0D3	Duplicated	TRINITY_DN91252_c2_g1_i1	306.6	269
BUSCOaEOG732M3J	Fragmented	TRINITY_DN92586_c4_g2_i9	497.9	265
BUSCOaEOG7B0HST	Complete	TRINITY_DN87211_c0_g1_i1	1876.9	1093
BUSCOaEOG7162HW	Fragmented	TRINITY_DN93669_c1_g1_i1	108.6	104
BUSCOaEOG7DK511	Complete	TRINITY_DN89877_c0_g1_i1	874.8	573
BUSCOaEOG7T7V70	Complete	TRINITY_DN93683_c1_g2_i1	591.6	463
BUSCOaEOG796JZ6	Complete	TRINITY_DN87240_c0_g1_i1	68.5	148
BUSCOaEOG70GZX4	Complete	TRINITY_DN92410_c5_g2_i2	241.5	154
BUSCOaEOG7HN4FF	Fragmented	TRINITY_DN92314_c2_g1_i3	369.6	396
BUSCOaEOG74BX66	Complete	TRINITY_DN91183_c7_g1_i2	796.1	612
BUSCOaEOG7MHCCN	Complete	TRINITY_DN94061_c4_g6_i1	467.1	340
BUSCOaEOG7TV2P5	Complete	TRINITY_DN87649_c0_g1_i1	340.9	337
BUSCOaEOG7WMQZD	Complete	TRINITY_DN92287_c3_g1_i2	1430.5	703
BUSCOaEOG7XHK5V	Complete	TRINITY_DN69638_c0_g1_i1	99.7	128
BUSCOaEOG7R5K75	Duplicated	TRINITY_DN93583_c7_g1_i3	235.2	283
BUSCOaEOG7Q04CM	Complete	TRINITY_DN86329_c1_g1_i1	347.5	179
BUSCOaEOG75JC25	Complete	TRINITY_DN93177_c5_g2_i3	1000.1	590
BUSCOaEOG7S2DCD	Fragmented	TRINITY_DN90550_c0_g2_i1	415.6	217
BUSCOaEOG754W47	Complete	TRINITY_DN98728_c0_g1_i1	252.3	219
BUSCOaEOG7HJ887	Complete	TRINITY_DN92412_c3_g1_i2	144.3	209
BUSCOaEOG7JB74X	Duplicated	TRINITY_DN89527_c4_g5_i2	330.2	316
BUSCOaEOG78DM0G	Duplicated	TRINITY_DN83569_c2_g1_i1	520.3	785
BUSCOaEOG77TCJZ	Duplicated	TRINITY_DN91390_c0_g1_i1	619.3	358
BUSCOaEOG7T23SW	Complete	TRINITY_DN73058_c0_g1_i1	228.8	173
BUSCOaEOG7BGW2K	Duplicated	TRINITY_DN92454_c1_g2_i3	151.0	122
BUSCOaEOG7PPHP4	Duplicated	TRINITY_DN92986_c2_g1_i1	287.2	249
BUSCOaEOG7S84VV	Fragmented	TRINITY_DN87355_c2_g1_i1	234.5	223
BUSCOaEOG79WNK7	Fragmented	TRINITY_DN28900_c0_g2_i1	274.4	336
BUSCOaEOG76J2FQ	Fragmented	TRINITY_DN78478_c1_g1_i1	341.9	267
BUSCOaEOG7BPMH0	Duplicated	TRINITY_DN88820_c0_g1_i2	691.5	372
BUSCOaEOG7S84WM	Duplicated	TRINITY_DN92838_c1_g1_i2	270.9	221
BUSCOaEOG7SJRK2	Duplicated	TRINITY_DN86175_c0_g1_i1	493.8	461
BUSCOaEOG7MT038	Duplicated	TRINITY_DN93328_c7_g1_i1	512.2	546
BUSCOaEOG7ND6HT	Duplicated	TRINITY_DN91202_c4_g1_i1	639.0	525
BUSCOaEOG7DP187	Duplicated	TRINITY_DN91132_c0_g1_i2	390.0	497
BUSCOaEOG77HRV7	Fragmented	TRINITY_DN92382_c8_g1_i2	320.8	203
BUSCOaEOG7FZBCJ	Complete	TRINITY_DN90341_c2_g2_i1	841.4	474
BUSCOaEOG7QKBT4	Complete	TRINITY_DN74184_c0_g1_i1	334.7	241
BUSCOaEOG7G52V2	Fragmented	TRINITY_DN82878_c0_g2_i1	271.1	232
BUSCOaEOG7RG5XN	Duplicated	TRINITY_DN92637_c3_g1_i2	535.1	482
BUSCOaEOG7QGGJP	Fragmented	TRINITY_DN93881_c0_g1_i2	357.9	602
BUSCOaEOG7D8JBJ	Fragmented	TRINITY_DN92502_c1_g2_i1	179.4	252
BUSCOaEOG7S58MB	Fragmented	TRINITY_DN91840_c0_g1_i7	447.6	281
BUSCOaEOG71S90W	Complete	TRINITY_DN92021_c2_g1_i2	472.2	196
BUSCOaEOG7FZBDH	Duplicated	TRINITY_DN90534_c0_g1_i5	256.0	209
BUSCOaEOG7BKR83	Duplicated	TRINITY_DN91974_c5_g1_i7	549.7	386
