Query Name	Accession	Subject Name	Taxonomy	Hsp Expect
-	gi|124393614|emb|CAK59141.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124405063|emb|CAK70505.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124405897|emb|CAK71328.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124407006|emb|CAK72414.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124423116|emb|CAK87920.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124424853|emb|CAK89642.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124425754|emb|CAK90538.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN84267_c0_g2_i1	gi|124088843|ref|XP_001347257.1|	40s ribosomal protein S15	Paramecium tetraurelia strain d4-2	1.65266e-43
-	gi|124390062|emb|CAK55604.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124393614|emb|CAK59141.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124405063|emb|CAK70505.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124405897|emb|CAK71328.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124407006|emb|CAK72414.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124423116|emb|CAK87920.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124424853|emb|CAK89642.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124425754|emb|CAK90538.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN84279_c1_g1_i1	gi|829099366|ref|XP_976660.2|	patatin family phospholipase	Tetrahymena thermophila SB210	5.71909e-21
-	gi|586746380|gb|EAR86065.2|	patatin family phospholipase	Tetrahymena thermophila SB210	-
TRINITY_DN84279_c2_g1_i1	gi|829099366|ref|XP_976660.2|	patatin family phospholipase	Tetrahymena thermophila SB210	2.64034e-57
-	gi|586746380|gb|EAR86065.2|	patatin family phospholipase	Tetrahymena thermophila SB210	-
-	gi|124424058|emb|CAK88850.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN78572_c0_g1_i1	gi|954192112|gb|KRX04868.1|	P-loop containing nucleoside triphosphate hydrolase	Pseudocohnilembus persalinus	4.0938e-18
TRINITY_DN78572_c1_g1_i1	gi|118365411|ref|XP_001015926.1|	Ras-related C3 botulinum toxin substrate 1 (Rho family, small GTP-binding Rac1)-like protein	Tetrahymena thermophila SB210	4.08372e-12
-	gi|89297693|gb|EAR95681.1|	Ras-related C3 botulinum toxin substrate 1 (Rho family, small GTP-binding Rac1)-like protein	Tetrahymena thermophila SB210	-
TRINITY_DN78507_c2_g1_i1	gi|829167067|ref|XP_001014699.2|	ubiquitin carboxy-terminal hydrolase	Tetrahymena thermophila SB210	1.22753e-39
-	gi|586739090|gb|EAR94410.2|	ubiquitin carboxy-terminal hydrolase	Tetrahymena thermophila SB210	-
TRINITY_DN78505_c0_g1_i1	gi|829188816|ref|XP_001030010.2|	casein kinase	Tetrahymena thermophila SB210	3.34211e-44
-	gi|586730320|gb|EAR82347.2|	casein kinase	Tetrahymena thermophila SB210	-
-	gi|124414143|emb|CAK79268.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124414143|emb|CAK79268.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN78567_c3_g1_i1	gi|678346111|emb|CDW71085.1|	pre-mrna-processing-splicing factor 8	Stylonychia lemnae	1.06743e-31
TRINITY_DN78512_c0_g1_i2	gi|829150347|ref|XP_001010658.2|	STOP protein	Tetrahymena thermophila SB210	3.23226e-06
-	gi|586743076|gb|EAR90413.2|	STOP protein	Tetrahymena thermophila SB210	-
TRINITY_DN95039_c0_g1_i1	gi|829194971|ref|XP_001025259.3|	tubulin-tyrosine ligase family protein	Tetrahymena thermophila SB210	1.32515e-12
-	gi|586726925|gb|EAS05014.3|	tubulin-tyrosine ligase family protein	Tetrahymena thermophila SB210	-
TRINITY_DN95046_c0_g1_i1	gi|921728813|emb|CTV64916.1|	lactose operon repressor	Escherichia coli	1.63737e-112
-	gi|124396206|emb|CAK61718.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124398390|emb|CAK63888.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|315570347|tpg|DAA33992.1|	TPA_exp: 40S ribosomal protein rpS28e	Tetrahymena thermophila	-
TRINITY_DN53096_c0_g1_i1	gi|118395270|ref|XP_001029987.1|	antioxidant, AhpC/TSA family protein	Tetrahymena thermophila SB210	1.28963e-28
-	gi|89284270|gb|EAR82324.1|	antioxidant, AhpC/TSA family protein	Tetrahymena thermophila SB210	-
-	gi|124404847|emb|CAK70297.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124413818|emb|CAK78944.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN92772_c2_g1_i1	gi|954193761|gb|KRX06503.1|	Ribosomal protein S5 domain 2-type fold	Pseudocohnilembus persalinus	3.41974e-09
TRINITY_DN39593_c0_g1_i1	gi|446230285|ref|WP_000308140.1|	50S ribosomal protein L1, partial	Escherichia coli	9.31803e-57
TRINITY_DN27809_c0_g1_i1	gi|954198558|gb|KRX11207.1|	P-type ATPase, cytoplasmic domain N	Pseudocohnilembus persalinus	7.49548e-37
TRINITY_DN27873_c0_g1_i1	gi|829175130|ref|XP_001017752.2|	tRNA (uracil-5)-methyltransferase	Tetrahymena thermophila SB210	1.74057e-16
-	gi|586736505|gb|EAR97507.2|	tRNA (uracil-5)-methyltransferase	Tetrahymena thermophila SB210	-
TRINITY_DN79294_c0_g1_i1	gi|146178188|ref|XP_001020304.2|	kinesin motor domain protein	Tetrahymena thermophila SB210	5.46184e-40
-	gi|146144611|gb|EAS00059.2|	kinesin motor domain protein	Tetrahymena thermophila SB210	-
-	gi|124429991|emb|CAK94780.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN79266_c0_g1_i1	gi|954190882|gb|KRX03657.1|	Carbon-nitrogen hydrolase	Pseudocohnilembus persalinus	6.71398e-63
TRINITY_DN79266_c0_g2_i1	gi|118381599|ref|XP_001023960.1|	glutamine-dependent NAD(+) synthetase protein	Tetrahymena thermophila SB210	5.89278e-20
-	gi|89305727|gb|EAS03715.1|	glutamine-dependent NAD(+) synthetase protein	Tetrahymena thermophila SB210	-
TRINITY_DN79295_c0_g1_i1	gi|118382868|ref|XP_001024590.1|	aldo/keto reductase family oxidoreductase	Tetrahymena thermophila SB210	3.96593e-82
-	gi|89306357|gb|EAS04345.1|	aldo/keto reductase family oxidoreductase	Tetrahymena thermophila SB210	-
TRINITY_DN79202_c1_g3_i1	gi|829163282|ref|XP_001031107.2|	acetyl-CoA acyltransferase	Tetrahymena thermophila SB210	1.04136e-25
-	gi|586740557|gb|EAR83444.2|	acetyl-CoA acyltransferase	Tetrahymena thermophila SB210	-
-	gi|124396576|emb|CAK62085.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN79233_c0_g1_i1	gi|954187273|gb|KRX00114.1|	Aldehyde/histidinol dehydrogenase	Pseudocohnilembus persalinus	3.61925e-41
TRINITY_DN79233_c0_g2_i1	gi|954187273|gb|KRX00114.1|	Aldehyde/histidinol dehydrogenase	Pseudocohnilembus persalinus	3.61925e-41
TRINITY_DN79233_c1_g1_i1	gi|118377439|ref|XP_001021898.1|	NAD-dependent aldehyde dehydrogenase family protein	Tetrahymena thermophila SB210	1.83853e-23
-	gi|89303665|gb|EAS01653.1|	NAD-dependent aldehyde dehydrogenase family protein	Tetrahymena thermophila SB210	-
TRINITY_DN79233_c1_g2_i1	gi|118377439|ref|XP_001021898.1|	NAD-dependent aldehyde dehydrogenase family protein	Tetrahymena thermophila SB210	3.31136e-23
-	gi|89303665|gb|EAS01653.1|	NAD-dependent aldehyde dehydrogenase family protein	Tetrahymena thermophila SB210	-
TRINITY_DN79233_c1_g3_i1	gi|118377439|ref|XP_001021898.1|	NAD-dependent aldehyde dehydrogenase family protein	Tetrahymena thermophila SB210	1.83853e-23
-	gi|89303665|gb|EAS01653.1|	NAD-dependent aldehyde dehydrogenase family protein	Tetrahymena thermophila SB210	-
TRINITY_DN79233_c3_g1_i1	gi|118377439|ref|XP_001021898.1|	NAD-dependent aldehyde dehydrogenase family protein	Tetrahymena thermophila SB210	4.5195e-11
-	gi|89303665|gb|EAS01653.1|	NAD-dependent aldehyde dehydrogenase family protein	Tetrahymena thermophila SB210	-
TRINITY_DN79254_c0_g1_i1	gi|118384921|ref|XP_001025599.1|	tetratricopeptide repeat protein	Tetrahymena thermophila SB210	1.01708e-13
-	gi|89307366|gb|EAS05354.1|	tetratricopeptide repeat protein	Tetrahymena thermophila SB210	-
TRINITY_DN79201_c0_g1_i1	gi|118367013|ref|XP_001016722.1|	glycosyl hydrolase family 20 beta-N-acetylhexosaminidase family protein	Tetrahymena thermophila SB210	1.8505e-41
-	gi|89298489|gb|EAR96477.1|	glycosyl hydrolase family 20 beta-N-acetylhexosaminidase family protein	Tetrahymena thermophila SB210	-
TRINITY_DN79201_c0_g2_i1	gi|118367013|ref|XP_001016722.1|	glycosyl hydrolase family 20 beta-N-acetylhexosaminidase family protein	Tetrahymena thermophila SB210	2.52868e-34
-	gi|89298489|gb|EAR96477.1|	glycosyl hydrolase family 20 beta-N-acetylhexosaminidase family protein	Tetrahymena thermophila SB210	-
TRINITY_DN79201_c1_g1_i1	gi|118367013|ref|XP_001016722.1|	glycosyl hydrolase family 20 beta-N-acetylhexosaminidase family protein	Tetrahymena thermophila SB210	1.98583e-18
-	gi|89298489|gb|EAR96477.1|	glycosyl hydrolase family 20 beta-N-acetylhexosaminidase family protein	Tetrahymena thermophila SB210	-
-	gi|124421832|emb|CAK86691.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124421832|emb|CAK86691.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN79226_c1_g1_i1	gi|829185155|ref|XP_001032927.2|	dynein intermediate chain 2	Tetrahymena thermophila SB210	1.52759e-87
-	gi|586732496|gb|EAR85264.2|	dynein intermediate chain 2	Tetrahymena thermophila SB210	-
TRINITY_DN79226_c1_g2_i1	gi|829185155|ref|XP_001032927.2|	dynein intermediate chain 2	Tetrahymena thermophila SB210	3.27661e-09
-	gi|586732496|gb|EAR85264.2|	dynein intermediate chain 2	Tetrahymena thermophila SB210	-
-	gi|124425637|emb|CAK90422.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN98197_c0_g1_i1	gi|118400944|ref|XP_001032793.1|	dynein light chain tctex-type 1 protein	Tetrahymena thermophila SB210	7.07495e-33
-	gi|89287138|gb|EAR85130.1|	dynein light chain tctex-type 1 protein	Tetrahymena thermophila SB210	-
-	gi|95026176|gb|ABF50906.1|	dynein light chain Tctex1A	Tetrahymena thermophila	-
TRINITY_DN98165_c0_g1_i1	gi|954192881|gb|KRX05632.1|	Casein kinase II, regulatory subunit	Pseudocohnilembus persalinus	1.78374e-51
TRINITY_DN98156_c0_g1_i1	gi|403348792|gb|EJY73841.1|	Ubiquitin-activating enzyme E1 family protein	Oxytricha trifallax	2.31458e-27
TRINITY_DN93870_c1_g1_i1	gi|954185687|gb|KRW98571.1|	P-type ATPase, cytoplasmic domain N	Pseudocohnilembus persalinus	2.97991e-25
-	gi|124420393|emb|CAK85297.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN93870_c1_g4_i2	gi|829194760|ref|XP_001031770.2|	calcium-translocating P-type ATPase, PMCA-type protein	Tetrahymena thermophila SB210	1.74986e-26
-	gi|586726990|gb|EAR84107.2|	calcium-translocating P-type ATPase, PMCA-type protein	Tetrahymena thermophila SB210	-
TRINITY_DN93870_c1_g4_i3	gi|829194760|ref|XP_001031770.2|	calcium-translocating P-type ATPase, PMCA-type protein	Tetrahymena thermophila SB210	3.25521e-27
-	gi|586726990|gb|EAR84107.2|	calcium-translocating P-type ATPase, PMCA-type protein	Tetrahymena thermophila SB210	-
-	gi|124420393|emb|CAK85297.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN93870_c1_g4_i5	gi|74829948|emb|CAI38972.1|	PMCA17	Paramecium tetraurelia	3.04523e-80
TRINITY_DN93870_c1_g5_i1	gi|829190861|ref|XP_012655253.1|	calcium-translocating P-type ATPase, PMCA-type protein	Tetrahymena thermophila SB210	1.02778e-28
-	gi|586729270|gb|EWS72210.1|	calcium-translocating P-type ATPase, PMCA-type protein	Tetrahymena thermophila SB210	-
TRINITY_DN93870_c1_g5_i2	gi|954185687|gb|KRW98571.1|	P-type ATPase, cytoplasmic domain N	Pseudocohnilembus persalinus	7.83699e-122
TRINITY_DN93870_c1_g5_i3	gi|954185687|gb|KRW98571.1|	P-type ATPase, cytoplasmic domain N	Pseudocohnilembus persalinus	4.32617e-122
TRINITY_DN93847_c0_g1_i1	gi|954185949|gb|KRW98823.1|	Armadillo-type fold	Pseudocohnilembus persalinus	1.2058e-14
TRINITY_DN93847_c0_g2_i1	gi|954185949|gb|KRW98823.1|	Armadillo-type fold	Pseudocohnilembus persalinus	1.69437e-14
TRINITY_DN93847_c3_g1_i1	gi|118365631|ref|XP_001016036.1|	CAS/CSE protein, carboxy-terminal protein	Tetrahymena thermophila SB210	1.34805e-08
-	gi|89297803|gb|EAR95791.1|	CAS/CSE protein, carboxy-terminal protein	Tetrahymena thermophila SB210	-
TRINITY_DN93847_c5_g1_i1	gi|118365631|ref|XP_001016036.1|	CAS/CSE protein, carboxy-terminal protein	Tetrahymena thermophila SB210	2.9457e-08
-	gi|89297803|gb|EAR95791.1|	CAS/CSE protein, carboxy-terminal protein	Tetrahymena thermophila SB210	-
-	gi|124418633|emb|CAK83603.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN87935_c0_g1_i1	gi|829179908|ref|XP_001019835.2|	fatty acid desaturase	Tetrahymena thermophila SB210	1.57611e-62
-	gi|586734590|gb|EAR99590.2|	fatty acid desaturase	Tetrahymena thermophila SB210	-
-	gi|124401238|emb|CAK66718.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124429770|emb|CAK94560.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124397692|emb|CAK63195.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124397692|emb|CAK63195.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN87934_c0_g1_i1	gi|118351833|ref|XP_001009191.1|	hydrocephalus-inducing protein	Tetrahymena thermophila SB210	2.65031e-45
-	gi|89290958|gb|EAR88946.1|	hydrocephalus-inducing protein	Tetrahymena thermophila SB210	-
TRINITY_DN87934_c0_g2_i1	gi|118351833|ref|XP_001009191.1|	hydrocephalus-inducing protein	Tetrahymena thermophila SB210	2.03182e-55
-	gi|89290958|gb|EAR88946.1|	hydrocephalus-inducing protein	Tetrahymena thermophila SB210	-
TRINITY_DN87934_c1_g1_i1	gi|118351833|ref|XP_001009191.1|	hydrocephalus-inducing protein	Tetrahymena thermophila SB210	0.0
-	gi|89290958|gb|EAR88946.1|	hydrocephalus-inducing protein	Tetrahymena thermophila SB210	-
TRINITY_DN87934_c1_g2_i1	gi|118351833|ref|XP_001009191.1|	hydrocephalus-inducing protein	Tetrahymena thermophila SB210	1.15747e-30
-	gi|89290958|gb|EAR88946.1|	hydrocephalus-inducing protein	Tetrahymena thermophila SB210	-
TRINITY_DN87934_c2_g1_i1	gi|118351833|ref|XP_001009191.1|	hydrocephalus-inducing protein	Tetrahymena thermophila SB210	1.0421e-28
-	gi|89290958|gb|EAR88946.1|	hydrocephalus-inducing protein	Tetrahymena thermophila SB210	-
TRINITY_DN87934_c4_g1_i1	gi|118351833|ref|XP_001009191.1|	hydrocephalus-inducing protein	Tetrahymena thermophila SB210	3.42779e-07
-	gi|89290958|gb|EAR88946.1|	hydrocephalus-inducing protein	Tetrahymena thermophila SB210	-
-	gi|124393268|emb|CAK58797.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN87934_c6_g1_i1	gi|954191734|gb|KRX04495.1|	PapD-like protein	Pseudocohnilembus persalinus	1.66318e-25
TRINITY_DN87956_c0_g1_i1	gi|954192916|gb|KRX05667.1|	Pyridoxal phosphate-dependent transferase	Pseudocohnilembus persalinus	2.25534e-172
TRINITY_DN87949_c0_g1_i1	gi|118363422|ref|XP_001014593.1|	fumarylacetoacetase	Tetrahymena thermophila SB210	1.42239e-174
-	gi|89296703|gb|EAR94691.1|	fumarylacetoacetase	Tetrahymena thermophila SB210	-
-	gi|124419314|emb|CAK84262.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124396780|emb|CAK62288.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124406248|emb|CAK71678.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124414513|emb|CAK79616.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124426698|emb|CAK91479.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124396780|emb|CAK62288.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124406248|emb|CAK71678.1|	unnamed protein product	Paramecium tetraurelia	-
