Query Name	Accession	Subject Name	Taxonomy	Hsp Expect
TRINITY_DN100282_c0_g1_i1	gi|937546078|gb|ALI56846.1|	translation initiation factor 1	Celeribacter marinus	1.68363e-30
TRINITY_DN100274_c0_g1_i1	gi|403369538|gb|EJY84615.1|	Cation transport ATPase	Oxytricha trifallax	1.46309e-11
TRINITY_DN100413_c0_g1_i1	gi|906318611|emb|CEP22798.1|	unnamed protein product	Cyberlindnera jadinii	1.18454e-09
TRINITY_DN100408_c0_g1_i1	gi|829178041|ref|XP_001015097.2|	cyclin-dependent kinase-like Serine/Threonine kinase family protein	Tetrahymena thermophila SB210	1.00257e-16
-	gi|586735434|gb|EAR94852.2|	cyclin-dependent kinase-like Serine/Threonine kinase family protein	Tetrahymena thermophila SB210	-
TRINITY_DN100401_c0_g1_i1	gi|835900568|gb|KLU91856.1|	60S ribosomal protein L37	Magnaporthiopsis poae ATCC 64411	6.37574e-32
-	gi|124426662|emb|CAK91443.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN100488_c0_g1_i1	gi|914572577|gb|KOB75400.1|	Plekhh1, partial	Operophtera brumata	1.39636e-13
TRINITY_DN100492_c0_g1_i1	gi|568254903|gb|ETN63794.1|	plasma membrane calcium-transporting ATPase 2	Anopheles darlingi	7.4831e-58
-	gi|124415690|emb|CAK80760.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN14338_c0_g1_i1	gi|906468424|gb|KNC29439.1|	Glucose dehydrogenase [FAD, quinone]	Lucilia cuprina	1.62995e-37
-	gi|820689975|tpe|CEL65721.1|	TPA: DNA-directed RNA polymerase II subunit RPB3	Neospora caninum Liverpool	-
TRINITY_DN58418_c0_g1_i1	gi|930665895|gb|KPJ07020.1|	Formin-like protein CG32138	Papilio machaon	2.40239e-103
TRINITY_DN58488_c0_g1_i1	gi|471224875|ref|XP_004031177.1|	protein kinase domain protein	Ichthyophthirius multifiliis	6.19909e-08
-	gi|340503343|gb|EGR29941.1|	protein kinase domain protein	Ichthyophthirius multifiliis	-
-	gi|124417542|emb|CAK82556.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN58410_c0_g1_i1	gi|194907333|ref|XP_001981533.1|	GG12110	Drosophila erecta	2.69199e-37
-	gi|190656171|gb|EDV53403.1|	uncharacterized protein Dere_GG12110, isoform A	Drosophila erecta	-
TRINITY_DN58476_c0_g1_i1	gi|954197234|gb|KRX09922.1|	Lysozyme-like domain	Pseudocohnilembus persalinus	1.88709e-50
TRINITY_DN58476_c0_g2_i1	gi|954187821|gb|KRX00650.1|	Lysozyme-like domain	Pseudocohnilembus persalinus	2.968e-21
-	gi|930670954|gb|KPJ11757.1|	DnaJ-like subfamily C member 7	Papilio machaon	-
TRINITY_DN95780_c0_g1_i1	gi|703070252|ref|XP_010088740.1|	U5 small nuclear ribonucleoprotein 200 kDa helicase	Morus notabilis	3.42176e-24
-	gi|587846435|gb|EXB36921.1|	U5 small nuclear ribonucleoprotein 200 kDa helicase	Morus notabilis	-
TRINITY_DN95799_c0_g1_i1	gi|954198516|gb|KRX11168.1|	Insulin-like growth factor binding protein, N-terminal	Pseudocohnilembus persalinus	8.06478e-08
TRINITY_DN95719_c0_g1_i1	gi|954599328|gb|KRZ76338.1|	Elongation factor Tu, mitochondrial	Trichinella papuae	9.99108e-12
TRINITY_DN95769_c0_g1_i1	gi|947372886|ref|WP_056038985.1|	30S ribosomal protein S17	Loktanella sp. 3ANDIMAR09	4.83283e-19
-	gi|943684440|gb|KQI67120.1|	30S ribosomal protein S17	Loktanella sp. 3ANDIMAR09	-
TRINITY_DN95730_c0_g1_i1	gi|930657696|gb|KPI99989.1|	Trypsin-3	Papilio xuthus	5.80723e-12
-	gi|124428620|emb|CAK93392.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN98909_c0_g1_i1	gi|194758613|ref|XP_001961556.1|	GF14875	Drosophila ananassae	9.01357e-21
-	gi|190615253|gb|EDV30777.1|	uncharacterized protein Dana_GF14875	Drosophila ananassae	-
-	gi|124414184|emb|CAK79302.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN98988_c0_g1_i1	gi|954185666|gb|KRW98551.1|	WD40-repeat-containing domain	Pseudocohnilembus persalinus	3.90171e-06
TRINITY_DN98929_c0_g1_i1	gi|471223026|ref|XP_004030301.1|	myb-like DNA-binding domain protein	Ichthyophthirius multifiliis	6.55326e-20
-	gi|340502370|gb|EGR29065.1|	myb-like DNA-binding domain protein	Ichthyophthirius multifiliis	-
TRINITY_DN90979_c2_g1_i2	gi|646710545|gb|KDR16025.1|	R3H domain-containing protein C19orf22-like protein	Zootermopsis nevadensis	3.84991e-20
-	gi|124419171|emb|CAK84119.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124400161|emb|CAK65648.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124419171|emb|CAK84119.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN90955_c0_g1_i1	gi|646723246|gb|KDR23920.1|	Ligand of Numb protein X 2	Zootermopsis nevadensis	3.00027e-94
TRINITY_DN90989_c0_g2_i2	gi|646713602|gb|KDR17893.1|	Melanotransferrin	Zootermopsis nevadensis	0.0
TRINITY_DN90938_c1_g1_i1	gi|934152774|gb|KPM03591.1|	rhomboid-related protein 2-like protein	Sarcoptes scabiei	5.5621e-30
TRINITY_DN90984_c0_g1_i3	gi|646707466|gb|KDR14218.1|	Protein BANP	Zootermopsis nevadensis	4.25961e-48
TRINITY_DN90934_c0_g1_i1	gi|954187943|gb|KRX00771.1|	Armadillo-type fold	Pseudocohnilembus persalinus	6.62328e-35
TRINITY_DN90934_c0_g2_i1	gi|954187943|gb|KRX00771.1|	Armadillo-type fold	Pseudocohnilembus persalinus	1.02592e-26
TRINITY_DN90934_c2_g1_i1	gi|954187943|gb|KRX00771.1|	Armadillo-type fold	Pseudocohnilembus persalinus	1.80298e-89
TRINITY_DN90934_c2_g1_i2	gi|954187943|gb|KRX00771.1|	Armadillo-type fold	Pseudocohnilembus persalinus	2.14289e-63
TRINITY_DN90934_c2_g3_i1	gi|954187943|gb|KRX00771.1|	Armadillo-type fold	Pseudocohnilembus persalinus	0.0
TRINITY_DN90934_c2_g3_i3	gi|954187943|gb|KRX00771.1|	Armadillo-type fold	Pseudocohnilembus persalinus	0.0
TRINITY_DN90934_c3_g1_i1	gi|954187943|gb|KRX00771.1|	Armadillo-type fold	Pseudocohnilembus persalinus	6.48113e-81
TRINITY_DN90950_c2_g3_i2	gi|594143312|emb|CCW72349.1|	unnamed protein product	Phytomonas sp. isolate Hart1	1.79947e-10
TRINITY_DN90941_c1_g1_i3	gi|925681475|gb|KOX78220.1|	Programmed cell death protein 2	Melipona quadrifasciata	1.70814e-21
TRINITY_DN90958_c1_g1_i2	gi|356651204|gb|AET34919.1|	aquaporin	Macrobrachium rosenbergii	1.11647e-94
TRINITY_DN90958_c1_g1_i3	gi|336169734|gb|AEI25531.1|	aquaporin 1	Penaeus monodon	1.99063e-95
TRINITY_DN90958_c1_g1_i4	gi|356651204|gb|AET34919.1|	aquaporin	Macrobrachium rosenbergii	9.2206e-96
TRINITY_DN90967_c0_g1_i1	gi|356651210|gb|AET34922.1|	interferon-related developmental regulator 1	Macrobrachium rosenbergii	3.01895e-56
TRINITY_DN90967_c0_g1_i2	gi|356651210|gb|AET34922.1|	interferon-related developmental regulator 1	Macrobrachium rosenbergii	4.4494e-47
TRINITY_DN90967_c0_g1_i3	gi|356651210|gb|AET34922.1|	interferon-related developmental regulator 1	Macrobrachium rosenbergii	2.45452e-129
TRINITY_DN90967_c0_g1_i4	gi|356651210|gb|AET34922.1|	interferon-related developmental regulator 1	Macrobrachium rosenbergii	3.62145e-108
TRINITY_DN90967_c1_g1_i1	gi|646704039|gb|KDR12406.1|	Trafficking protein particle complex subunit 5	Zootermopsis nevadensis	7.79073e-85
TRINITY_DN90967_c1_g1_i2	gi|646704039|gb|KDR12406.1|	Trafficking protein particle complex subunit 5	Zootermopsis nevadensis	7.19613e-85
TRINITY_DN90961_c1_g1_i1	gi|472271620|gb|AGI37354.1|	lysin motif-containing protein	Procambarus clarkii	1.41537e-17
TRINITY_DN90961_c1_g2_i1	gi|472271620|gb|AGI37354.1|	lysin motif-containing protein	Procambarus clarkii	1.65292e-42
TRINITY_DN90961_c1_g3_i1	gi|472271620|gb|AGI37354.1|	lysin motif-containing protein	Procambarus clarkii	5.68253e-18
TRINITY_DN90978_c3_g7_i1	gi|668466665|gb|KFB53622.1|	AGAP002606-PA-like protein	Anopheles sinensis	8.28217e-07
TRINITY_DN90978_c3_g7_i3	gi|668466665|gb|KFB53622.1|	AGAP002606-PA-like protein	Anopheles sinensis	7.51168e-07
TRINITY_DN90971_c1_g1_i1	gi|7414464|emb|CAB85963.1|	alpha glucosidase	Litopenaeus vannamei	0.0
TRINITY_DN90966_c0_g1_i3	gi|166240350|ref|XP_001733016.1|	EGF-like domain-containing protein	Dictyostelium discoideum AX4	1.39197e-38
-	gi|165988554|gb|EDR41055.1|	EGF-like domain-containing protein	Dictyostelium discoideum AX4	-
TRINITY_DN90966_c0_g1_i4	gi|166240350|ref|XP_001733016.1|	EGF-like domain-containing protein	Dictyostelium discoideum AX4	2.21412e-38
-	gi|165988554|gb|EDR41055.1|	EGF-like domain-containing protein	Dictyostelium discoideum AX4	-
TRINITY_DN90966_c1_g1_i1	gi|414151636|gb|AFW98991.1|	prophenoloxidase activating enzyme	Litopenaeus vannamei	6.13965e-91
TRINITY_DN90966_c1_g1_i2	gi|307212162|gb|EFN88016.1|	Proclotting enzyme	Harpegnathos saltator	5.49935e-91
TRINITY_DN90966_c1_g1_i3	gi|414151636|gb|AFW98991.1|	prophenoloxidase activating enzyme	Litopenaeus vannamei	9.67164e-92
TRINITY_DN90966_c1_g1_i4	gi|307212162|gb|EFN88016.1|	Proclotting enzyme	Harpegnathos saltator	3.10587e-90
TRINITY_DN90966_c3_g1_i1	gi|568259598|gb|ETN67483.1|	CLIP-domain serine protease subfamily D	Anopheles darlingi	3.16669e-19
TRINITY_DN90923_c2_g1_i1	gi|677283338|gb|AIM45534.1|	peritrophin-44-like protein	Eriocheir sinensis	1.97207e-19
TRINITY_DN90923_c2_g1_i2	gi|677283338|gb|AIM45534.1|	peritrophin-44-like protein	Eriocheir sinensis	9.09364e-19
TRINITY_DN90923_c2_g2_i1	gi|677283338|gb|AIM45534.1|	peritrophin-44-like protein	Eriocheir sinensis	6.00118e-19
TRINITY_DN90936_c3_g1_i1	gi|125776824|ref|XP_001359406.1|	GA10797	Drosophila pseudoobscura pseudoobscura	7.80957e-08
-	gi|54639150|gb|EAL28552.1|	uncharacterized protein Dpse_GA10797	Drosophila pseudoobscura pseudoobscura	-
-	gi|607359674|gb|EZA54027.1|	Vacuolar protein sorting-associated protein 37B	Cerapachys biroi	-
TRINITY_DN90906_c4_g1_i1	gi|15425681|dbj|BAB64297.1|	I-connectin	Procambarus clarkii	3.86588e-124
TRINITY_DN90906_c4_g4_i1	gi|15425681|dbj|BAB64297.1|	I-connectin	Procambarus clarkii	2.44071e-17
TRINITY_DN90906_c4_g8_i1	gi|15425681|dbj|BAB64297.1|	I-connectin	Procambarus clarkii	2.95402e-09
TRINITY_DN90906_c4_g8_i3	gi|15425681|dbj|BAB64297.1|	I-connectin	Procambarus clarkii	0.0
TRINITY_DN90906_c4_g8_i4	gi|15425681|dbj|BAB64297.1|	I-connectin	Procambarus clarkii	0.0
TRINITY_DN90906_c4_g8_i7	gi|15425681|dbj|BAB64297.1|	I-connectin	Procambarus clarkii	0.0
TRINITY_DN90985_c4_g2_i1	gi|646718816|gb|KDR21150.1|	Mannose-1-phosphate guanyltransferase alpha-A	Zootermopsis nevadensis	0.0
TRINITY_DN90985_c4_g2_i2	gi|646718816|gb|KDR21150.1|	Mannose-1-phosphate guanyltransferase alpha-A	Zootermopsis nevadensis	0.0
TRINITY_DN90985_c4_g2_i3	gi|646718816|gb|KDR21150.1|	Mannose-1-phosphate guanyltransferase alpha-A	Zootermopsis nevadensis	0.0
TRINITY_DN90946_c0_g1_i1	gi|923121053|ref|XP_013753998.1|	DEAD-box ATP-dependent RNA helicase 56	Thecamonas trahens ATCC 50062	1.04922e-84
-	gi|906560939|gb|KNC54182.1|	DEAD-box ATP-dependent RNA helicase 56	Thecamonas trahens ATCC 50062	-
TRINITY_DN90946_c0_g1_i2	gi|891585429|ref|XP_013022665.1|	ATP-dependent RNA helicase Uap56	Schizosaccharomyces cryophilus OY26	9.67447e-135
-	gi|528318212|gb|EPY52787.1|	ATP-dependent RNA helicase Uap56	Schizosaccharomyces cryophilus OY26	-
TRINITY_DN90910_c3_g2_i2	gi|310743896|dbj|BAJ23879.1|	glycogen phosphorylase	Marsupenaeus japonicus	0.0
TRINITY_DN90910_c3_g2_i3	gi|310743896|dbj|BAJ23879.1|	glycogen phosphorylase	Marsupenaeus japonicus	4.42354e-20
TRINITY_DN90910_c3_g2_i5	gi|310743896|dbj|BAJ23879.1|	glycogen phosphorylase	Marsupenaeus japonicus	0.0
TRINITY_DN90910_c3_g2_i6	gi|310743896|dbj|BAJ23879.1|	glycogen phosphorylase	Marsupenaeus japonicus	0.0
TRINITY_DN90910_c3_g2_i7	gi|310743896|dbj|BAJ23879.1|	glycogen phosphorylase	Marsupenaeus japonicus	1.02167e-170
TRINITY_DN90910_c3_g2_i8	gi|310743896|dbj|BAJ23879.1|	glycogen phosphorylase	Marsupenaeus japonicus	0.0
TRINITY_DN90900_c0_g2_i1	gi|646695062|gb|KDR08236.1|	F-box only protein 9	Zootermopsis nevadensis	1.68924e-104
TRINITY_DN90931_c2_g1_i2	gi|946582716|gb|EDW77105.2|	uncharacterized protein Dwil_GK22105	Drosophila willistoni	2.59198e-52
TRINITY_DN90973_c1_g1_i2	gi|225711690|gb|ACO11691.1|	ORF91	Caligus rogercresseyi	1.36536e-34
TRINITY_DN90973_c1_g2_i2	gi|669215019|emb|CDW61002.1|	Cell wall-associated hydrolase	Trichuris trichiura	2.44901e-32
TRINITY_DN90973_c1_g2_i3	gi|669215019|emb|CDW61002.1|	Cell wall-associated hydrolase	Trichuris trichiura	1.84643e-85
TRINITY_DN90973_c1_g2_i5	gi|669215019|emb|CDW61002.1|	Cell wall-associated hydrolase	Trichuris trichiura	1.13566e-67
TRINITY_DN90973_c1_g2_i6	gi|669215019|emb|CDW61002.1|	Cell wall-associated hydrolase	Trichuris trichiura	3.59852e-88
TRINITY_DN90973_c1_g4_i1	gi|225711690|gb|ACO11691.1|	ORF91	Caligus rogercresseyi	1.21826e-33
TRINITY_DN90904_c5_g1_i1	gi|358442122|gb|AEU11366.1|	Broad-complex protein isoform 4	Penaeus monodon	1.21858e-51
TRINITY_DN90904_c5_g1_i2	gi|358442122|gb|AEU11366.1|	Broad-complex protein isoform 4	Penaeus monodon	1.03882e-51
TRINITY_DN90904_c5_g1_i3	gi|642043626|emb|CDQ93256.1|	unnamed protein product	Oncorhynchus mykiss	3.3223e-12
TRINITY_DN90904_c5_g1_i4	gi|358442122|gb|AEU11366.1|	Broad-complex protein isoform 4	Penaeus monodon	2.50375e-52
TRINITY_DN90904_c5_g1_i5	gi|358442122|gb|AEU11366.1|	Broad-complex protein isoform 4	Penaeus monodon	2.06022e-52
TRINITY_DN90904_c5_g1_i6	gi|358442122|gb|AEU11366.1|	Broad-complex protein isoform 4	Penaeus monodon	8.68375e-53
TRINITY_DN90904_c5_g1_i8	gi|358442122|gb|AEU11366.1|	Broad-complex protein isoform 4	Penaeus monodon	6.83455e-53
TRINITY_DN90904_c5_g1_i9	gi|358442122|gb|AEU11366.1|	Broad-complex protein isoform 4	Penaeus monodon	2.54705e-53
TRINITY_DN90904_c5_g1_i10	gi|358442122|gb|AEU11366.1|	Broad-complex protein isoform 4	Penaeus monodon	3.2928e-53
TRINITY_DN90904_c6_g1_i1	gi|760485122|gb|AJP31314.1|	broad-complex-like protein	Macrobrachium nipponense	2.92814e-06
TRINITY_DN90992_c2_g1_i1	gi|642071767|emb|CDQ88438.1|	unnamed protein product	Oncorhynchus mykiss	2.32095e-28
TRINITY_DN90992_c2_g2_i1	gi|642071767|emb|CDQ88438.1|	unnamed protein product	Oncorhynchus mykiss	3.10388e-29
TRINITY_DN90992_c6_g1_i1	gi|47220827|emb|CAG00034.1|	unnamed protein product, partial	Tetraodon nigroviridis	5.61453e-13
-	gi|307169152|gb|EFN61968.1|	F-box only protein 6	Camponotus floridanus	-
TRINITY_DN90983_c2_g1_i1	gi|945203811|gb|KQS62874.1|	uncharacterized protein Dere_GG22641, isoform C	Drosophila erecta	8.30225e-15
TRINITY_DN90983_c3_g2_i1	gi|646701251|gb|KDR11056.1|	Cullin-2	Zootermopsis nevadensis	0.0
TRINITY_DN90983_c3_g2_i2	gi|646701251|gb|KDR11056.1|	Cullin-2	Zootermopsis nevadensis	0.0
TRINITY_DN90983_c3_g2_i3	gi|646701251|gb|KDR11056.1|	Cullin-2	Zootermopsis nevadensis	1.76688e-49
TRINITY_DN90983_c3_g2_i4	gi|646701251|gb|KDR11056.1|	Cullin-2	Zootermopsis nevadensis	0.0
TRINITY_DN90983_c3_g2_i5	gi|646701251|gb|KDR11056.1|	Cullin-2	Zootermopsis nevadensis	0.0
TRINITY_DN90987_c0_g1_i1	gi|552968764|gb|AGY49577.1|	pelle-like kinase	Scylla paramamosain	1.30723e-43
TRINITY_DN90926_c0_g1_i1	gi|384255136|gb|AFH75400.1|	elongation factor 2	Eriocheir sinensis	0.0
TRINITY_DN90920_c1_g1_i1	gi|675375065|gb|KFM67967.1|	Sn1-specific diacylglycerol lipase alpha, partial	Stegodyphus mimosarum	4.11143e-24
TRINITY_DN90915_c1_g1_i1	gi|256002943|gb|ACU52718.1|	ribosomal protein L10a	Fenneropenaeus merguiensis	1.57437e-110
TRINITY_DN90915_c1_g1_i2	gi|256002943|gb|ACU52718.1|	ribosomal protein L10a	Fenneropenaeus merguiensis	1.05716e-39
TRINITY_DN90925_c0_g1_i2	gi|646722309|gb|KDR23322.1|	Inosine-5'-monophosphate dehydrogenase 1	Zootermopsis nevadensis	0.0
TRINITY_DN90995_c0_g1_i1	gi|227122182|gb|ACP19562.1|	clip domain serine proteinase 1	Penaeus monodon	2.82021e-92
TRINITY_DN90995_c0_g1_i2	gi|227122182|gb|ACP19562.1|	clip domain serine proteinase 1	Penaeus monodon	5.94961e-62
TRINITY_DN90995_c0_g1_i4	gi|414151630|gb|AFW98988.1|	serine protease 1	Fenneropenaeus chinensis	9.42431e-26
TRINITY_DN90981_c0_g1_i1	gi|118394992|ref|XP_001029853.1|	dynein heavy chain, outer arm protein	Tetrahymena thermophila SB210	8.92251e-25
-	gi|89284126|gb|EAR82190.1|	dynein heavy chain, outer arm protein	Tetrahymena thermophila SB210	-
TRINITY_DN90981_c1_g1_i1	gi|118394992|ref|XP_001029853.1|	dynein heavy chain, outer arm protein	Tetrahymena thermophila SB210	1.08408e-14
-	gi|89284126|gb|EAR82190.1|	dynein heavy chain, outer arm protein	Tetrahymena thermophila SB210	-
TRINITY_DN90981_c1_g2_i1	gi|118394992|ref|XP_001029853.1|	dynein heavy chain, outer arm protein	Tetrahymena thermophila SB210	1.08408e-14
-	gi|89284126|gb|EAR82190.1|	dynein heavy chain, outer arm protein	Tetrahymena thermophila SB210	-
-	gi|124420396|emb|CAK85300.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124420396|emb|CAK85300.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN90975_c0_g2_i1	gi|930670589|gb|KPJ11405.1|	Nuclear migration protein nudC, partial	Papilio machaon	2.11368e-16
TRINITY_DN90908_c1_g1_i1	gi|675382649|gb|KFM75546.1|	Abhydrolase domain-containing protein 13, partial	Stegodyphus mimosarum	6.71636e-94
TRINITY_DN90977_c4_g1_i1	gi|326578753|gb|ADZ95929.1|	reverse transcriptase, partial	Mythimna sp. GAS-2011	1.23796e-06
TRINITY_DN90977_c4_g3_i1	gi|326578753|gb|ADZ95929.1|	reverse transcriptase, partial	Mythimna sp. GAS-2011	4.81454e-07
TRINITY_DN90977_c4_g4_i1	gi|326578753|gb|ADZ95929.1|	reverse transcriptase, partial	Mythimna sp. GAS-2011	4.74379e-07
TRINITY_DN90977_c4_g5_i1	gi|326578753|gb|ADZ95929.1|	reverse transcriptase, partial	Mythimna sp. GAS-2011	4.47499e-07
TRINITY_DN90998_c0_g1_i1	gi|225706410|gb|ACO09051.1|	Epididymal secretory protein E1 precursor	Osmerus mordax	9.6101e-11
-	gi|225706824|gb|ACO09258.1|	Epididymal secretory protein E1 precursor	Osmerus mordax	-
TRINITY_DN90998_c0_g1_i2	gi|225706864|gb|ACO09278.1|	Epididymal secretory protein E1 precursor	Osmerus mordax	8.88218e-11
TRINITY_DN90998_c0_g1_i3	gi|225706864|gb|ACO09278.1|	Epididymal secretory protein E1 precursor	Osmerus mordax	8.85747e-11
TRINITY_DN90998_c0_g1_i4	gi|225706864|gb|ACO09278.1|	Epididymal secretory protein E1 precursor	Osmerus mordax	8.48677e-11
TRINITY_DN90949_c0_g1_i1	gi|549137491|dbj|BAO01096.1|	neuropeptide GPCR A46	Nilaparvata lugens	1.25373e-138
TRINITY_DN90949_c0_g1_i3	gi|549137491|dbj|BAO01096.1|	neuropeptide GPCR A46	Nilaparvata lugens	6.02437e-140
TRINITY_DN90949_c0_g1_i4	gi|549137491|dbj|BAO01096.1|	neuropeptide GPCR A46	Nilaparvata lugens	0.0
TRINITY_DN90964_c0_g1_i1	gi|406870758|gb|AFS65301.1|	replication-associated protein	Dragonfly orbiculatusvirus	3.67384e-73
TRINITY_DN90964_c0_g1_i2	gi|406870758|gb|AFS65301.1|	replication-associated protein	Dragonfly orbiculatusvirus	1.67402e-74
TRINITY_DN90964_c0_g1_i3	gi|406870758|gb|AFS65301.1|	replication-associated protein	Dragonfly orbiculatusvirus	4.8481e-52
TRINITY_DN90964_c0_g1_i4	gi|406870758|gb|AFS65301.1|	replication-associated protein	Dragonfly orbiculatusvirus	2.35265e-52
TRINITY_DN90964_c0_g1_i5	gi|406870758|gb|AFS65301.1|	replication-associated protein	Dragonfly orbiculatusvirus	3.98649e-74
TRINITY_DN28175_c0_g1_i1	gi|646707075|gb|KDR13995.1|	Protein bric-a-brac 1	Zootermopsis nevadensis	1.01814e-23
-	gi|124425301|emb|CAK90087.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124420765|emb|CAK85668.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN76337_c0_g1_i1	gi|18605943|gb|AAH22960.1|	BC022960 protein, partial	Mus musculus	1.72371e-07
TRINITY_DN76333_c0_g1_i1	gi|829189826|ref|XP_012655115.1|	alpha/beta fold hydrolase	Tetrahymena thermophila SB210	7.44139e-15
-	gi|586729789|gb|EWS72338.1|	alpha/beta fold hydrolase	Tetrahymena thermophila SB210	-
